y_pred,y_true
1,2
1,2
2,2
2,2
2,2
2,2
1,2
1,2
1,2
1,2
0,2
3,2
3,2
3,2
2,2
0,2
0,2
0,2
0,2
0,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
2,2
2,2
2,2
2,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
2,2
2,2
2,2
2,2
3,2
3,2
3,2
3,2
2,2
2,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
0,2
0,2
0,2
0,2
0,2
0,2
1,2
1,2
1,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
